,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
403,RCOM,EQ,2018-12-28,14.5,14.35,15.05,14.35,14.65,14.7,14.72,73248725,1078153431.95,30392,7963616,10.87,12,2018,20.03435949002288,0.01379310344827589,Slight or No change
404,RCOM,EQ,2018-12-31,14.7,14.75,14.95,14.3,14.4,14.4,14.6,71586882,1045128075.95,48377,6988298,9.76,12,2018,20.02312032674552,-0.020408163265306034,Slight or No change
405,RCOM,EQ,2019-01-01,14.4,14.5,14.6,14.15,14.35,14.35,14.35,45185360,648601274.1,19996,3424969,7.58,1,2019,20.01572418297529,-0.003472222222222321,Slight or No change
406,RCOM,EQ,2019-01-02,14.35,14.35,14.4,13.6,13.85,13.85,13.97,92048688,1286336938.55,37389,12952671,14.07,1,2019,19.99971018960345,-0.03484320557491294,Slight or No change
407,RCOM,EQ,2019-01-03,13.85,13.75,13.85,13.45,13.45,13.5,13.63,52405739,714388780.3,22434,6232461,11.89,1,2019,19.99011888254631,-0.02527075812274371,Slight or No change
408,RCOM,EQ,2019-01-04,13.5,13.4,14.2,13.3,14.0,14.0,13.81,139026951,1920111400.55,53416,8906048,6.41,1,2019,19.96552972197224,0.03703703703703698,Slight or No change
409,RCOM,EQ,2019-01-07,14.0,14.25,14.35,13.65,13.85,13.9,13.95,95262182,1329287171.3,49960,7827371,8.22,1,2019,19.949174370351198,-0.0071428571428571175,Slight or No change
410,RCOM,EQ,2019-01-08,13.9,13.8,14.15,13.7,14.0,14.0,13.94,70769680,986726613.95,35812,6446232,9.11,1,2019,19.937061384508915,0.007194244604316502,Slight or No change
411,RCOM,EQ,2019-01-09,14.0,14.1,14.15,13.65,13.9,13.8,13.83,58166357,804497292.9,19726,5414963,9.31,1,2019,19.92696015142382,-0.014285714285714235,Slight or No change
412,RCOM,EQ,2019-01-10,13.8,13.9,14.0,13.65,13.95,13.85,13.83,51883452,717747988.5,40648,4578737,8.83,1,2019,19.91797816916713,0.0036231884057971175,Slight or No change
413,RCOM,EQ,2019-01-11,13.85,13.95,14.0,13.6,13.7,13.7,13.74,47896536,658230549.75,20927,4418652,9.23,1,2019,19.909587623324416,-0.010830324909747335,Slight or No change
414,RCOM,EQ,2019-01-14,13.7,13.7,13.7,13.35,13.35,13.4,13.48,32004610,431494453.0,14492,5309975,16.59,1,2019,19.90375798716901,-0.021897810218978075,Slight or No change
415,RCOM,EQ,2019-01-15,13.4,13.4,13.6,13.35,13.5,13.45,13.47,48091793,647757250.9,15944,4119486,8.57,1,2019,19.895004316888652,0.003731343283581934,Slight or No change
416,RCOM,EQ,2019-01-16,13.45,13.5,14.15,13.4,13.9,13.8,13.82,69538057,961044760.25,27021,7280304,10.47,1,2019,19.883076249710385,0.02602230483271395,Slight or No change
417,RCOM,EQ,2019-01-17,13.8,13.85,13.95,13.45,13.65,13.55,13.63,70098847,955377441.7,44143,5913298,8.44,1,2019,19.870723979509084,-0.018115942028985477,Slight or No change
